Категория: Все категории

Неделя,bitcoin: (город Москва)
2017-01-01,10
2017-01-08,16
2017-01-15,7
2017-01-22,11
2017-01-29,9
2017-02-05,8
2017-02-12,10
2017-02-19,4
2017-02-26,9
2017-03-05,14
2017-03-12,8
2017-03-19,11
2017-03-26,6
2017-04-02,7
2017-04-09,6
2017-04-16,7
2017-04-23,9
2017-04-30,7
2017-05-07,13
2017-05-14,15
2017-05-21,24
2017-05-28,19
2017-06-04,24
2017-06-11,21
2017-06-18,29
2017-06-25,31
2017-07-02,20
2017-07-09,22
2017-07-16,19
2017-07-23,26
2017-07-30,47
2017-08-06,30
2017-08-13,36
2017-08-20,32
2017-08-27,30
2017-09-03,25
2017-09-10,27
2017-09-17,18
2017-09-24,19
2017-10-01,20
2017-10-08,28
2017-10-15,29
2017-10-22,29
2017-10-29,34
2017-11-05,36
2017-11-12,47
2017-11-19,33
2017-11-26,69
2017-12-03,90
2017-12-10,77
2017-12-17,100
2017-12-24,57
2017-12-31,44
2018-01-07,40
2018-01-14,51
2018-01-21,34
2018-01-28,40
2018-02-04,48
2018-02-11,28
2018-02-18,26
2018-02-25,20
2018-03-04,22
2018-03-11,17
2018-03-18,15
2018-03-25,13
